0,5,10,15,20,25,30
1,6,11,16,21,26,31
2,7,12,17,22,27,32
3,8,13,18,23,28,33
4,9,14,19,24,29,34
5,10,15,20,25,30,35
6,11,16,21,26,31,36
7,12,17,22,27,32,37
8,13,18,23,28,33,38
9,14,19,24,29,34,39
10,15,20,25,30,35,40
11,16,21,26,31,36,41
12,17,22,27,32,37,42
13,18,23,28,33,38,43
14,19,24,29,34,39,44
15,20,25,30,35,40,45
16,21,26,31,36,41,46
17,22,27,32,37,42,47
18,23,28,33,38,43,48
19,24,29,34,39,44,49
20,25,30,35,40,45,50
21,26,31,36,41,46,51
22,27,32,37,42,47,52
23,28,33,38,43,48,53
24,29,34,39,44,49,54
25,30,35,40,45,50,55
26,31,36,41,46,51,56
27,32,37,42,47,52,57
28,33,38,43,48,53,58
29,34,39,44,49,54,59
30,35,40,45,50,55,60
31,36,41,46,51,56,61
32,37,42,47,52,57,62
33,38,43,48,53,58,63
34,39,44,49,54,59,64
35,40,45,50,55,60,65
36,41,46,51,56,61,66
37,42,47,52,57,62,67
38,43,48,53,58,63,68
39,44,49,54,59,64,69
40,45,50,55,60,65,70
41,46,51,56,61,66,71
42,47,52,57,62,67,72
43,48,53,58,63,68,73
44,49,54,59,64,69,74
45,50,55,60,65,70,75
46,51,56,61,66,71,76
47,52,57,62,67,72,77
48,53,58,63,68,73,78
49,54,59,64,69,74,79
50,55,60,65,70,75,80
51,56,61,66,71,76,81
52,57,62,67,72,77,82
53,58,63,68,73,78,83
54,59,64,69,74,79,84
55,60,65,70,75,80,85
56,61,66,71,76,81,86
57,62,67,72,77,82,87
58,63,68,73,78,83,88
59,64,69,74,79,84,89
60,65,70,75,80,85,90
61,66,71,76,81,86,91
62,67,72,77,82,87,92
63,68,73,78,83,88,93
64,69,74,79,84,89,94
65,70,75,80,85,90,95
66,71,76,81,86,91,96
67,72,77,82,87,92,97
68,73,78,83,88,93,98
69,74,79,84,89,94,99
70,75,80,85,90,95,100
71,76,81,86,91,96,101
72,77,82,87,92,97,102
73,78,83,88,93,98,103
74,79,84,89,94,99,104
75,80,85,90,95,100,105
76,81,86,91,96,101,106
77,82,87,92,97,102,107
78,83,88,93,98,103,108
79,84,89,94,99,104,109
80,85,90,95,100,105,110
81,86,91,96,101,106,111
82,87,92,97,102,107,112
83,88,93,98,103,108,113
84,89,94,99,104,109,114
85,90,95,100,105,110,115
86,91,96,101,106,111,116
87,92,97,102,107,112,117
88,93,98,103,108,113,118
89,94,99,104,109,114,119
90,95,100,105,110,115,120
91,96,101,106,111,116,121
92,97,102,107,112,117,122
93,98,103,108,113,118,123
94,99,104,109,114,119,124
95,100,105,110,115,120,125
96,101,106,111,116,121,126
97,102,107,112,117,122,127
98,103,108,113,118,123,128
99,104,109,114,119,124,129
